Art,Gewicht,Laenge,Hoehe,Gewicht
Barsch,242,23.2,11.52,4.02
Barsch,290,24,12.48,4.3056
Barsch,340,23.9,12.3778,4.6961
Barsch,363,26.3,12.73,4.4555
Barsch,430,26.5,12.444,5.134
Barsch,450,26.8,13.6024,4.9274
Barsch,500,26.8,14.1795,5.2785
Barsch,390,27.6,12.67,4.69
Barsch,450,27.6,14.0049,4.8438
Barsch,500,28.5,14.2266,4.9594
Barsch,475,28.4,14.2628,5.1042
Barsch,500,28.7,14.3714,4.8146
Barsch,500,29.1,13.7592,4.368
Barsch,340,29.5,13.9129,5.0728
Barsch,600,29.4,14.9544,5.1708
Barsch,600,29.4,15.438,5.58
Barsch,700,30.4,14.8604,5.2854
Barsch,700,30.4,14.938,5.1975
Barsch,610,30.9,15.633,5.1338
Barsch,650,31,14.4738,5.7276
Barsch,575,31.3,15.1285,5.5695
Barsch,685,31.4,15.9936,5.3704
Barsch,620,31.5,15.5227,5.2801
Barsch,680,31.8,15.4686,6.1306
Barsch,700,31.9,16.2405,5.589
Barsch,725,31.8,16.36,6.0532
Barsch,720,32,16.3618,6.09
Barsch,714,32.7,16.517,5.8515
Barsch,850,32.8,16.8896,6.1984
Barsch,1000,33.5,18.957,6.603
Barsch,920,35,18.0369,6.3063
Barsch,955,35,18.084,6.292
Barsch,925,36.2,18.7542,6.7497
Barsch,975,37.4,18.6354,6.7473
Barsch,950,38,17.6235,6.3705
Rotauge,40,12.9,4.1472,2.268
Rotauge,69,16.5,5.2983,2.8217
Rotauge,78,17.5,5.5756,2.9044
Rotauge,87,18.2,5.6166,3.1746
Rotauge,120,18.6,6.216,3.5742
Rotauge,0,19,6.4752,3.3516
Rotauge,110,19.1,6.1677,3.3957
Rotauge,120,19.4,6.1146,3.2943
Rotauge,150,20.4,5.8045,3.7544
Rotauge,145,20.5,6.6339,3.5478
Rotauge,160,20.5,7.0334,3.8203
Rotauge,140,21,6.55,3.325
Rotauge,160,21.1,6.4,3.8
Rotauge,169,22,7.5344,3.8352
Rotauge,161,22,6.9153,3.6312
Rotauge,200,22.1,7.3968,4.1272
Rotauge,180,23.6,7.0866,3.906
Rotauge,290,24,8.8768,4.4968
Rotauge,272,25,8.568,4.7736
Rotauge,390,29.5,9.485,5.355
Weißfisch,270,23.6,8.3804,4.2476
Weißfisch,270,24.1,8.1454,4.2485
Weißfisch,306,25.6,8.778,4.6816
Weißfisch,540,28.5,10.744,6.562
Weißfisch,800,33.7,11.7612,6.5736
Weißfisch,1000,37.3,12.354,6.525
Parkki,55,13.5,6.8475,2.3265
Parkki,60,14.3,6.5772,2.3142
Parkki,90,16.3,7.4052,2.673
Parkki,120,17.5,8.3922,2.9181
Parkki,150,18.4,8.8928,3.2928
Parkki,140,19,8.5376,3.2944
Parkki,170,19,9.396,3.4104
Parkki,145,19.8,9.7364,3.1571
Parkki,200,21.2,10.3458,3.6636
Parkki,273,23,11.088,4.144
Parkki,300,24,11.368,4.234
Rotbarsch,5.9,7.5,2.112,1.408
Rotbarsch,32,12.5,3.528,1.9992
Rotbarsch,40,13.8,3.824,2.432
Rotbarsch,51.5,15,4.5924,2.6316
Rotbarsch,70,15.7,4.588,2.9415
Rotbarsch,100,16.2,5.2224,3.3216
Rotbarsch,78,16.8,5.1992,3.1234
Rotbarsch,80,17.2,5.6358,3.0502
Rotbarsch,85,17.8,5.1376,3.0368
Rotbarsch,85,18.2,5.082,2.772
Rotbarsch,110,19,5.6925,3.555
Rotbarsch,115,19,5.9175,3.3075
Rotbarsch,125,19,5.6925,3.6675
Rotbarsch,130,19.3,6.384,3.534
Rotbarsch,120,20,6.11,3.4075
Rotbarsch,120,20,5.64,3.525
Rotbarsch,130,20,6.11,3.525
Rotbarsch,135,20,5.875,3.525
Rotbarsch,110,20,5.5225,3.995
Rotbarsch,130,20.5,5.856,3.624
Rotbarsch,150,20.5,6.792,3.624
Rotbarsch,145,20.7,5.9532,3.63
Rotbarsch,150,21,5.2185,3.626
Rotbarsch,170,21.5,6.275,3.725
Rotbarsch,225,22,7.293,3.723
Rotbarsch,145,22,6.375,3.825
Rotbarsch,188,22.6,6.7334,4.1658
Rotbarsch,180,23,6.4395,3.6835
Rotbarsch,197,23.5,6.561,4.239
Rotbarsch,218,25,7.168,4.144
Rotbarsch,300,25.2,8.323,5.1373
Rotbarsch,260,25.4,7.1672,4.335
Rotbarsch,265,25.4,7.0516,4.335
Rotbarsch,250,25.4,7.2828,4.5662
Rotbarsch,250,25.9,7.8204,4.2042
Rotbarsch,300,26.9,7.5852,4.6354
Rotbarsch,320,27.8,7.6156,4.7716
Rotbarsch,514,30.5,10.03,6.018
Rotbarsch,556,32,10.2565,6.3875
Rotbarsch,840,32.5,11.4884,7.7957
Rotbarsch,685,34,10.881,6.864
Rotbarsch,700,34,10.6091,6.7408
Rotbarsch,700,34.5,10.835,6.2646
Rotbarsch,690,34.6,10.5717,6.3666
Rotbarsch,900,36.5,11.1366,7.4934
Rotbarsch,650,36.5,11.1366,6.003
Rotbarsch,820,36.6,12.4313,7.3514
Rotbarsch,850,36.9,11.9286,7.1064
Rotbarsch,900,37,11.73,7.225
Rotbarsch,1015,37,12.3808,7.4624
Rotbarsch,820,37.1,11.135,6.63
Rotbarsch,1100,39,12.8002,6.8684
Rotbarsch,1000,39.8,11.9328,7.2772
Rotbarsch,1100,40.1,12.5125,7.4165
Rotbarsch,1000,40.2,12.604,8.142
Rotbarsch,1000,41.1,12.4888,7.5958
Hecht,200,30,5.568,3.3756
Hecht,300,31.7,5.7078,4.158
Hecht,300,32.7,5.9364,4.3844
Hecht,300,34.8,6.2884,4.0198
Hecht,430,35.5,7.29,4.5765
Hecht,345,36,6.396,3.977
Hecht,456,40,7.28,4.3225
Hecht,510,40,6.825,4.459
Hecht,540,40.1,7.786,5.1296
Hecht,500,42,6.96,4.896
Hecht,567,43.2,7.792,4.87
Hecht,770,44.8,7.68,5.376
Hecht,950,48.3,8.9262,6.1712
Hecht,1250,52,10.6863,6.9849
Hecht,1600,56,9.6,6.144
Hecht,1550,56,9.6,6.144
Hecht,1650,59,10.812,7.48
Ährenfisch,6.7,9.3,1.7388,1.0476
Ährenfisch,7.5,10,1.972,1.16
Ährenfisch,7,10.1,1.7284,1.1484
Ährenfisch,9.7,10.4,2.196,1.38
Ährenfisch,9.8,10.7,2.0832,1.2772
Ährenfisch,8.7,10.8,1.9782,1.2852
Ährenfisch,10,11.3,2.2139,1.2838
Ährenfisch,9.9,11.3,2.2139,1.1659
Ährenfisch,9.8,11.4,2.2044,1.1484
Ährenfisch,12.2,11.5,2.0904,1.3936
Ährenfisch,13.4,11.7,2.43,1.269
Ährenfisch,12.2,12.1,2.277,1.2558
Ährenfisch,19.7,13.2,2.8728,2.0672
Ährenfisch,19.9,13.8,2.9322,1.8792
